course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,remarks
BS606,01,시스템 뇌과학 개론 (이),교선필수,교과,이론,기초공학,MIREBraiN,4.0,4.0,0.0,영어강의(Delivered in English)
BS608,01,뇌질환 및 뇌의 질병 (이),교선필수,교과,이론,기초공학,MIREBraiN,4.0,4.0,0.0,영어강의(Delivered in English)
BS743,01,발생생물학 (이) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
BS900,01,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,02,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,03,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,04,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,05,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,06,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,07,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,08,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,09,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,10,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,11,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,12,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,13,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,14,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,15,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
BS900,16,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
CR522,01,융복합 생리학(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,
CR527,01,융복합 영상학 개론 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
EM620,01,고급 고체물리학 Ⅰ (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
EM625,01,고급 양자역학 Ⅰ (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
EM675,01,고급 무기화학 Ⅰ (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
EM713,01,자성체소재(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
EM900,01,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,02,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,03,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,04,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,05,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,06,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,07,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,08,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,09,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,10,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,11,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,12,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,13,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,14,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
EM900,15,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES601,01,열역학 (이.공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
ES725,01,에너지 재료 전산모사(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
ES733,01,촉매화학 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,영어강의(Delivered in English)
ES900,01,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,02,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,03,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,04,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,05,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,06,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,07,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,08,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,09,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,10,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,11,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,12,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,13,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,14,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
ES900,15,Thesis (이.공),교선필수,연구(Thesis),이론,기초공학,MIREBraiN,1.0,5.0,0.0,
HL101,01,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL101,02,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL101a,01,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL101a,02,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL104,01,음악 II - 합창,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,02,음악 II - 합창,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,03,음악 II - 보컬,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,04,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,05,음악 II - 바이올린(심화),공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,06,음악 II - 앙상블,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,07,음악 II - 첼로,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,08,음악 II - 클라리넷,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,09,음악 II - 클라리넷,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,10,음악 II - 피아노,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,11,음악 II - 피아노,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,12,음악 II - 피아노앙상블 (4 Hands),공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,13,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,14,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
